"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 21 19:19:24 EEST 2022","Sun Aug 21 19:19:31 EEST 2022","7125","","Telnyx tests","","","","“Cloud Storage” page",""
"passed","Sun Aug 21 19:19:32 EEST 2022","Sun Aug 21 19:19:40 EEST 2022","8003","","Telnyx tests","","","","“Use cases” page",""
"passed","Sun Aug 21 19:19:57 EEST 2022","Sun Aug 21 19:20:07 EEST 2022","10623","","Telnyx tests","","","","“Blog” page and search",""
"passed","Sun Aug 21 19:18:50 EEST 2022","Sun Aug 21 19:19:05 EEST 2022","15571","","Telnyx tests","","","","Phone Slider and prices on main page",""
"passed","Sun Aug 21 19:19:40 EEST 2022","Sun Aug 21 19:19:48 EEST 2022","7685","","Telnyx tests","","","","“About us” page and addresses.",""
"passed","Sun Aug 21 19:19:06 EEST 2022","Sun Aug 21 19:19:17 EEST 2022","11861","","Telnyx tests","","","","Message Slider and Prices on main page",""
"passed","Sun Aug 21 19:19:17 EEST 2022","Sun Aug 21 19:19:24 EEST 2022","6703","","Telnyx tests","","","","“Number Lookup” page",""
"passed","Sun Aug 21 19:20:08 EEST 2022","Sun Aug 21 19:20:13 EEST 2022","5420","","Telnyx tests","","","","“Release notes” and matching information",""
"passed","Sun Aug 21 19:18:23 EEST 2022","Sun Aug 21 19:18:50 EEST 2022","26212","","Telnyx tests","","","","Register with incorrect credentials",""
"passed","Sun Aug 21 19:19:48 EEST 2022","Sun Aug 21 19:19:57 EEST 2022","8888","","Telnyx tests","","","","“Blog” page and filters",""
