"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 30 12:28:59 UTC 2022","Tue Aug 30 12:29:04 UTC 2022","5271","","Footer","","","","Should open “Release notes” page with working links",""
"passed","Tue Aug 30 12:28:41 UTC 2022","Tue Aug 30 12:28:49 UTC 2022","8449","","Footer","","","","Should open “Blog” page which containing working filters",""
"passed","Tue Aug 30 12:29:31 UTC 2022","Tue Aug 30 12:29:37 UTC 2022","5479","","Product tab","","","","Should lead 'Cloud Storage' page",""
"passed","Tue Aug 30 12:28:50 UTC 2022","Tue Aug 30 12:28:58 UTC 2022","8962","","Footer","","","","Should open “Blog” page which containing working search input",""
"passed","Tue Aug 30 12:29:58 UTC 2022","Tue Aug 30 12:30:04 UTC 2022","5742","","Solution tab","","","","Should lead to 'Use Cases' page",""
"passed","Tue Aug 30 12:29:15 UTC 2022","Tue Aug 30 12:29:20 UTC 2022","4710","","Main page sliders","","","","Message Slider should shows correct prices",""
"passed","Tue Aug 30 12:29:43 UTC 2022","Tue Aug 30 12:29:52 UTC 2022","9411","","Registration","","","","Should shows error message, when credentials is invalid",""
"passed","Tue Aug 30 12:28:27 UTC 2022","Tue Aug 30 12:28:41 UTC 2022","13457","","Footer","","","","Should open “About us” page which containing correct addresses",""
"passed","Tue Aug 30 12:29:26 UTC 2022","Tue Aug 30 12:29:31 UTC 2022","5383","","Product tab","","","","Should lead 'Number lookup' page",""
"passed","Tue Aug 30 12:29:10 UTC 2022","Tue Aug 30 12:29:15 UTC 2022","5192","","Main page sliders","","","","Phone Slider should shows correct prices",""
